109,85,54,33,
180,89,104,30,
110,130,54,33,
112,174,52,35,
180,206,102,32,
114,248,51,32,
180,249,103,33,
116,291,50,33,
182,294,98,29,
116,331,52,31,
184,335,96,30,
295,338,70,25,
120,371,50,32,
184,403,145,28,
120,440,50,30,
122,480,47,28,
123,541,46,27,
186,569,92,23,
124,601,45,25,
130,662,38,26,
129,719,41,25,
132,775,107,25,
256,780,72,21,
347,778,28,24,
184,132,191,32,
180,175,103,32,
293,177,102,33,
187,375,47,27,
252,376,45,25,
185,442,48,25,
250,443,47,25,
315,443,47,27,
187,480,94,26,
294,481,45,24,
187,507,92,25,
294,508,68,24,
187,542,92,26,
290,541,70,26,
187,601,92,25,
290,602,48,26,
186,628,93,26,
290,629,68,24,
187,662,92,29,
288,663,68,26,
187,691,90,20,
288,690,92,25,
190,720,86,24,
290,721,88,25,
190,745,87,23,
290,746,66,21,
437,260,140,91,
417,75,179,181,
0,246,12,12,
0,259,11,10,
2,285,10,9,
