4,37,795,81,
0,174,70,36,
227,244,43,26,
98,240,87,23,
211,180,81,27,
102,172,75,26,
131,196,21,17,
5,250,54,20,
707,207,79,25,
616,264,59,19,
639,220,21,23,
511,196,85,25,
621,323,41,23,
694,386,73,22,
616,383,40,21,
501,375,81,29,
526,322,41,19,
430,253,48,26,
326,249,51,23,
108,304,68,23,
315,311,69,28,
4,289,58,21,
4,315,56,22,
314,188,79,24,
411,192,89,24,
214,367,64,27,
313,371,66,26,
424,375,43,22,
105,365,70,25,
3,377,62,22,
6,352,55,21,
224,306,49,25,
425,312,47,28,
713,322,46,30,
703,264,77,30,
521,257,59,28,
4,223,60,24,
735,224,22,22,
620,200,64,26,
542,215,22,21,
443,212,25,20,
339,208,28,21,
236,204,26,13,
