79,133,44,37,
173,127,151,29,
175,160,159,13,
78,213,47,35,
174,208,88,28,
175,239,87,14,
77,301,49,35,
176,294,115,31,
176,326,91,16,
79,379,46,35,
175,373,113,29,
175,404,111,13,
84,454,45,33,
178,450,111,28,
178,478,89,15,
85,528,45,32,
178,521,226,28,
177,550,218,14,
89,602,44,31,
180,594,170,30,
180,624,157,14,
84,673,49,30,
179,665,142,30,
181,696,129,15,
86,746,45,30,
180,741,138,27,
178,769,138,13,
89,817,45,31,
176,813,167,27,
367,817,68,23,
178,837,293,18,
86,888,47,33,
180,883,84,26,
178,910,160,15,
