7,163,257,115,
312,132,180,27,
287,286,96,21,
396,286,97,19,
508,282,92,22,
619,282,77,20,
714,279,109,21,
294,146,477,109,
886,259,170,61,
273,431,41,11,
370,428,41,11,
466,426,45,12,
566,424,42,14,
670,423,33,13,
772,541,38,8,
772,549,63,9,
863,514,24,10,
841,524,73,9,
842,531,77,9,
871,542,25,10,
850,552,68,8,
879,560,53,7,
672,437,29,8,
573,439,29,7,
475,439,29,8,
278,443,29,9,
377,440,29,9,
276,451,34,10,
374,448,34,9,
670,445,33,8,
571,446,33,7,
865,122,172,107,
781,581,159,6,
780,588,115,6,
847,502,52,10,
